original_index,task,ground_truth_text,predicted_label,top1_correct,candidate_count
0,Action Recognition,The grasper is performing a retract action in this surgery image.,retract,True,10
1,Action Recognition,"retract, dissect",retract,True,10
2,Action Recognition,The grasper is performing a retract action in this surgical scene.,null_verb,False,10
3,Action Recognition,"retract, dissect",retract,True,10
4,Action Recognition,dissect,dissect,True,10
5,Action Recognition,The bipolar is involved in performing coagulate within this procedure.,null_verb,False,10
6,Action Recognition,The hook completes a dissect task in this surgical image.,grasp,False,10
7,Action Recognition,The grasper performs a retract action during this surgical procedure.,retract,True,10
8,Action Recognition,The grasper is assigned the task of retract in this surgical image.,grasp,False,10
9,Action Recognition,The grasper is accomplishing a retract task in this surgery.,retract,True,10
10,Action Recognition,The hook is engaged in dissect during this surgery.,dissect,True,10
11,Action Recognition,"retract, dissect",retract,True,10
12,Action Recognition,The movement carried out by the grasper is retract in this surgery.,retract,True,10
13,Action Recognition,The grasper is engaged in retract in this surgical image.,retract,True,10
14,Action Recognition,dissect,dissect,True,10
15,Action Recognition,"retract, dissect",retract,True,10
16,Action Recognition,grasp,retract,False,10
17,Action Recognition,dissect,dissect,True,10
18,Action Recognition,The hook is carrying out a dissect procedure in this surgery.,dissect,True,10
19,Action Recognition,"retract, dissect",retract,True,10
20,Action Recognition,The grasper is performing a grasp action in this surgical image.,grasp,True,10
21,Action Recognition,"retract, clip",retract,True,10
22,Action Recognition,The hook is performing a null_verb action in this surgical scene.,null_verb,True,10
23,Action Recognition,The grasper is tasked with performing retract in this surgical image.,retract,True,10
24,Action Recognition,grasp,grasp,True,10
25,Action Recognition,"retract, dissect",retract,True,10
26,Action Recognition,dissect,retract,False,10
27,Action Recognition,"retract, dissect",dissect,True,10
28,Action Recognition,retract,retract,True,10
29,Action Recognition,"retract, dissect",dissect,True,10
30,Action Recognition,dissect,retract,False,10
31,Action Recognition,"retract, clip",retract,True,10
32,Action Recognition,The grasper is engaged in retract in this surgery image.,retract,True,10
33,Action Recognition,dissect,dissect,True,10
34,Action Recognition,retract,retract,True,10
35,Action Recognition,The grasper is involved in performing grasp during this surgery.,retract,False,10
36,Action Recognition,The grasper is performing a grasp operation in this surgical image.,retract,False,10
37,Action Recognition,The hook is assigned the task of dissect in this surgical image.,grasp,False,10
38,Action Recognition,"retract, dissect",retract,True,10
39,Action Recognition,retract,grasp,False,10
40,Action Recognition,"retract, dissect",retract,True,10
41,Action Recognition,"retract, dissect",retract,True,10
42,Action Recognition,"retract, dissect",retract,True,10
43,Action Recognition,The clipper is involved in clip within this surgical image.,clip,True,10
44,Action Recognition,"retract, clip",retract,True,10
45,Action Recognition,The grasper is completing a retract action in this surgical image.,retract,True,10
46,Action Recognition,grasp,grasp,True,10
47,Action Recognition,retract,retract,True,10
48,Action Recognition,dissect,retract,False,10
49,Action Recognition,The grasper is carrying out a retract procedure in this surgery.,retract,True,10
50,Action Recognition,The movement made by the grasper is grasp in this surgical image.,retract,False,10
51,Action Recognition,The hook is engaged in dissect during this surgery.,dissect,True,10
52,Action Recognition,The movement of the hook is dissect in this surgery.,dissect,True,10
53,Action Recognition,"retract, clip",retract,True,10
54,Action Recognition,The bipolar undertakes a coagulate task in this surgical scene.,grasp,False,10
55,Action Recognition,The grasper is performing a retract action in this surgery image.,retract,True,10
56,Action Recognition,The bipolar is doing a coagulate action in this surgical image.,null_verb,False,10
57,Action Recognition,The hook is executing a dissect operation in this surgery image.,dissect,True,10
58,Action Recognition,retract,retract,True,10
59,Action Recognition,The grasper is carrying out a retract task in this surgery.,retract,True,10
60,Action Recognition,"retract, dissect",retract,True,10
61,Action Recognition,The grasper is accomplishing retract in this surgery image.,retract,True,10
62,Action Recognition,The movement demonstrated by the clipper is clip in this image.,clip,True,10
63,Action Recognition,retract,retract,True,10
64,Action Recognition,"retract, dissect",retract,True,10
65,Action Recognition,dissect,dissect,True,10
66,Action Recognition,The irrigator is carrying out a aspirate task in this surgery.,retract,False,10
67,Action Recognition,grasp,grasp,True,10
68,Action Recognition,The hook is carrying out a dissect task in this surgery image.,retract,False,10
69,Action Recognition,dissect,dissect,True,10
70,Action Recognition,The grasper is performing a retract activity in this surgical image.,retract,True,10
71,Action Recognition,dissect,retract,False,10
72,Action Recognition,dissect,dissect,True,10
73,Action Recognition,dissect,dissect,True,10
74,Action Recognition,dissect,dissect,True,10
75,Action Recognition,"retract, dissect",retract,True,10
76,Action Recognition,dissect,dissect,True,10
77,Action Recognition,The hook completes a null_verb task in this surgical image.,grasp,False,10
78,Action Recognition,dissect,retract,False,10
79,Action Recognition,"retract, dissect",retract,True,10
80,Action Recognition,retract,retract,True,10
81,Action Recognition,The grasper is involved in performing retract within this procedure.,retract,True,10
82,Action Recognition,aspirate,retract,False,10
83,Action Recognition,The grasper performs retract in this surgery image.,retract,True,10
84,Action Recognition,The grasper is performing a retract task in this surgical image.,retract,True,10
85,Action Recognition,The grasper is performing a retract activity in this procedure.,retract,True,10
86,Action Recognition,The grasper takes a retract action in this surgical procedure.,retract,True,10
87,Action Recognition,The grasper is engaged in grasp in this surgery image.,retract,False,10
88,Action Recognition,The grasper is playing the role of retract in this surgical scene.,retract,True,10
89,Action Recognition,dissect,dissect,True,10
90,Action Recognition,The hook is completing a dissect action in this surgical image.,dissect,True,10
91,Action Recognition,The hook is observed performing dissect in this operation.,dissect,True,10
92,Action Recognition,"retract, dissect",retract,True,10
93,Action Recognition,dissect,dissect,True,10
94,Action Recognition,coagulate,coagulate,True,10
95,Action Recognition,The action of the hook is null_verb during this surgical image.,dissect,False,10
96,Action Recognition,The grasper's task is to perform retract in this surgery image.,retract,True,10
97,Action Recognition,The hook is performing the role of dissect in this surgical image.,retract,False,10
98,Action Recognition,The hook is playing the role of dissect in this surgical scene.,dissect,True,10
99,Action Recognition,The grasper is engaged in retract in this surgical image.,retract,True,10
100,Action Recognition,The hook is executing dissect in this surgical scene.,dissect,True,10
101,Action Recognition,The grasper's task is to perform null_verb in this surgery image.,retract,False,10
102,Action Recognition,retract,retract,True,10
103,Action Recognition,The hook performs a dissect operation in this surgical image.,retract,False,10
104,Action Recognition,The grasper takes a retract action in this surgical procedure.,retract,True,10
105,Action Recognition,The hook executes dissect in this surgical procedure.,dissect,True,10
106,Action Recognition,The bipolar is involved in performing coagulate within this procedure.,coagulate,True,10
107,Action Recognition,dissect,dissect,True,10
108,Action Recognition,dissect,retract,False,10
109,Action Recognition,The hook is handling a dissect operation in this surgery.,dissect,True,10
110,Action Recognition,The hook performs dissect in this surgery image.,dissect,True,10
111,Action Recognition,The hook executes a dissect movement in this surgical image.,dissect,True,10
112,Action Recognition,dissect,dissect,True,10
113,Action Recognition,The hook is carrying out a dissect procedure in this surgery.,dissect,True,10
114,Action Recognition,"retract, dissect",retract,True,10
115,Action Recognition,The hook is involved in performing dissect during this surgery.,dissect,True,10
116,Action Recognition,The action of the hook is dissect during this surgical procedure.,dissect,True,10
117,Action Recognition,dissect,dissect,True,10
118,Action Recognition,The grasper performs retract in this surgery image.,retract,True,10
119,Action Recognition,The hook is performing a null_verb task in this surgical image.,retract,False,10
120,Action Recognition,The grasper is engaged in retract during this surgery.,retract,True,10
121,Action Recognition,"retract, dissect",retract,True,10
122,Action Recognition,aspirate,grasp,False,10
123,Action Recognition,The hook is executing a dissect operation in this surgery image.,dissect,True,10
124,Action Recognition,"retract, dissect",retract,True,10
125,Action Recognition,dissect,retract,False,10
126,Action Recognition,The hook performs a dissect function in this surgery image.,retract,False,10
